decil_local,poblacion_ponderada,ingreso_total_ponderado,ipcf_promedio_decil,pct_ingreso_total,periodo
1,38596,3838397181.14,99450.64724686496,0.02901498719179909,T4 2024
2,36965,5780863683.79,156387.49313648045,0.043698366226104624,T4 2024
3,42211,8340063946.82,197580.34509535428,0.06304372298540971,T4 2024
4,37085,8219575298.26,221641.50730106514,0.06213293224913493,T4 2024
5,40909,10256867031.72,250723.97349531887,0.07753310861513149,T4 2024
6,38557,11453025340.82,297041.40210130456,0.0865750384572102,T4 2024
7,38919,13531269378.6,347677.7249826563,0.10228477908381998,T4 2024
8,40276,16054009164.13,398599.88986319397,0.12135452593676432,T4 2024
9,39369,20121987610.45,511112.4897876502,0.15210495038383368,T4 2024
10,39754,34694097336.66,872719.6593213263,0.262257588870792,T4 2024
