x_pob_acum_pct,y_ing_acum_pct,periodo,recorte
9.06681049526795e-06,2.0406353470320127e-08,T4 2024,Nacional
0.0001446307949263,1.2408428390855998e-06,T4 2024,Nacional
0.0001538661334977,1.3655567614097868e-06,T4 2024,Nacional
0.0002567693767767,2.9095624192830443e-06,T4 2024,Nacional
0.0003596726200557,4.453568077156301e-06,T4 2024,Nacional
0.0004625758633347,5.997573735029559e-06,T4 2024,Nacional
0.0005595806239495,8.180825976203586e-06,T4 2024,Nacional
0.0006856396248875,1.1471938388680794e-05,T4 2024,Nacional
0.0008116986258254,1.4763050801158e-05,T4 2024,Nacional
0.0009377576267633,1.8054163213635207e-05,T4 2024,Nacional
0.0010638166277012,2.134527562611241e-05,T4 2024,Nacional
0.0011898756286392,2.463638803858962e-05,T4 2024,Nacional
0.0012013692434306,2.5024412194726003e-05,T4 2024,Nacional
0.0013601901023663,3.0386200534065136e-05,T4 2024,Nacional
0.001519010961302,3.5747988873404265e-05,T4 2024,Nacional
0.0016778318202377,4.11097772127434e-05,T4 2024,Nacional
0.0016893254350291,4.149780136887978e-05,T4 2024,Nacional
0.0017008190498205,4.188582552501617e-05,T4 2024,Nacional
0.0017123126646119,4.227384968115255e-05,T4 2024,Nacional
0.001715042819445,4.237626076923674e-05,T4 2024,Nacional
0.0017177729742782,4.247867185732093e-05,T4 2024,Nacional
0.0017205031291113,4.258108294540512e-05,T4 2024,Nacional
0.0018428545123746,4.808852258088929e-05,T4 2024,Nacional
0.001992001859741,5.480213701257454e-05,T4 2024,Nacional
0.0021411492071074,6.151575144425979e-05,T4 2024,Nacional
0.0022902965544738,6.822936587594503e-05,T4 2024,Nacional
0.0023472927498176,7.095530195034694e-05,T4 2024,Nacional
0.0024042889451615,7.368123802474887e-05,T4 2024,Nacional
0.0024612851405053,7.640717409915079e-05,T4 2024,Nacional
0.0025182813358492,7.91331101735527e-05,T4 2024,Nacional
0.0025297412450254,7.968334831745923e-05,T4 2024,Nacional
0.0025412011542016,8.023358646136576e-05,T4 2024,Nacional
0.0025526610633777,8.078382460527228e-05,T4 2024,Nacional
0.0025774683961826,8.199353972325353e-05,T4 2024,Nacional
0.0026022757289875,8.320325484123478e-05,T4 2024,Nacional
0.0026270830617924,8.441296995921603e-05,T4 2024,Nacional
0.0026518903945973,8.562268507719728e-05,T4 2024,Nacional
0.0026766977274022,8.683240019517853e-05,T4 2024,Nacional
0.0027015050602071,8.804211531315979e-05,T4 2024,Nacional
0.0027242563504833,8.918143844023179e-05,T4 2024,Nacional
0.0027470076407596,9.03207615673038e-05,T4 2024,Nacional
0.0027697589310358,9.146008469437582e-05,T4 2024,Nacional
0.002792510221312,9.259940782144782e-05,T4 2024,Nacional
0.0027965886007541,9.280563086950672e-05,T4 2024,Nacional
0.0028006669801962,9.301185391756564e-05,T4 2024,Nacional
0.0028047453596384,9.321807696562452e-05,T4 2024,Nacional
0.0028194073022608,9.398805636389418e-05,T4 2024,Nacional
0.002845158392292,9.534038799671718e-05,T4 2024,Nacional
0.0028709094823232,9.66927196295402e-05,T4 2024,Nacional
0.0029862163920046,0.0001027481208283,T4 2024,Nacional
0.0031015233016861,0.0001088035220271,T4 2024,Nacional
0.0032168302113675,0.0001148589232259,T4 2024,Nacional
0.00323149215399,0.0001156289026242,T4 2024,Nacional
0.0032461540966124,0.0001163988820224,T4 2024,Nacional
0.0032719051866436,0.0001177512136553,T4 2024,Nacional
0.0032913870322431,0.0001188145060472,T4 2024,Nacional
0.0033108688778426,0.000119877798439,T4 2024,Nacional
0.0033303507234421,0.0001209410908309,T4 2024,Nacional
0.0033498325690416,0.0001220043832228,T4 2024,Nacional
0.0033800665058976,0.0001236715216133,T4 2024,Nacional
0.0034103004427535,0.0001253386600038,T4 2024,Nacional
0.0034405343796095,0.0001270057983943,T4 2024,Nacional
0.0034707683164655,0.0001286729367847,T4 2024,Nacional
0.0034881941195363,0.000129653427932,T4 2024,Nacional
0.0034964857008814,0.0001301199672399,T4 2024,Nacional
0.0035047772822265,0.0001305865065479,T4 2024,Nacional
0.0035130688635717,0.0001310530458559,T4 2024,Nacional
0.0035669978479301,0.0001340874478589,T4 2024,Nacional
0.0035752894292752,0.0001345539871669,T4 2024,Nacional
0.0036292184136337,0.0001375883891699,T4 2024,Nacional
0.0036831473979922,0.0001406227911729,T4 2024,Nacional
0.0037370763823507,0.0001436571931759,T4 2024,Nacional
0.0037910053667091,0.0001466915951789,T4 2024,Nacional
0.0038449343510676,0.000149725997182,T4 2024,Nacional
0.0038623601541384,0.0001507064883292,T4 2024,Nacional
0.0038710899084815,0.0001512566254123,T4 2024,Nacional
0.0038742582363125,0.0001514619937399,T4 2024,Nacional
0.0038774265641436,0.0001516673620675,T4 2024,Nacional
0.0038805948919746,0.000151872730395,T4 2024,Nacional
0.0038837632198057,0.0001520780987226,T4 2024,Nacional
0.0038869315476368,0.0001522834670502,T4 2024,Nacional
0.0038892909407024,0.0001524427731553,T4 2024,Nacional
0.0038916503337681,0.0001526020792605,T4 2024,Nacional
0.0039137275117399,0.0001540927292445,T4 2024,Nacional
0.0039160869048056,0.0001542520353496,T4 2024,Nacional
0.0039927671794403,0.0001594294837673,T4 2024,Nacional
0.004069447454075,0.0001646069321849,T4 2024,Nacional
0.0040940188475733,0.0001662659914801,T4 2024,Nacional
0.0040952996609518,0.0001663524719372,T4 2024,Nacional
0.0041104334821874,0.0001673743068117,T4 2024,Nacional
0.0041325106601591,0.0001688649567957,T4 2024,Nacional
0.0041570820536575,0.0001705240160908,T4 2024,Nacional
0.0041816534471558,0.000172183075386,T4 2024,Nacional
0.0042062248406541,0.0001738421346811,T4 2024,Nacional
0.0042307962341525,0.0001755011939763,T4 2024,Nacional
0.0042395259884955,0.0001760906265654,T4 2024,Nacional
0.0043143861599081,0.0001811451817019,T4 2024,Nacional
0.0043292840418371,0.0001821510859659,T4 2024,Nacional
0.0043316434349028,0.0001823103920711,T4 2024,Nacional
0.0043340028279685,0.0001824696981762,T4 2024,Nacional
0.0043363622210342,0.0001826290042814,T4 2024,Nacional
0.0043481591863626,0.0001834255348072,T4 2024,Nacional
0.0044230193577752,0.0001884800899437,T4 2024,Nacional
0.0044978795291878,0.0001935346450802,T4 2024,Nacional
0.0044996659267947,0.0001936612934338,T4 2024,Nacional
0.0045014523244015,0.0001937879417874,T4 2024,Nacional
0.0045032387220084,0.000193914590141,T4 2024,Nacional
0.0045050251196153,0.0001940412384946,T4 2024,Nacional
0.0045201589408509,0.0001951397109847,T4 2024,Nacional
0.0045352927620865,0.0001962381834749,T4 2024,Nacional
0.0045504265833221,0.000197336655965,T4 2024,Nacional
0.0045655604045577,0.0001984351284551,T4 2024,Nacional
0.0045820761560174,0.0001996710783209,T4 2024,Nacional
0.0045985919074772,0.0002009070281868,T4 2024,Nacional
0.004615107658937,0.0002021429780526,T4 2024,Nacional
0.0046316234103968,0.0002033789279185,T4 2024,Nacional
0.0046344546820756,0.0002035913360375,T4 2024,Nacional
0.0046372859537544,0.0002038037441564,T4 2024,Nacional
0.0046401172254333,0.0002040161522754,T4 2024,Nacional
0.0046456786519452,0.000204436720393,T4 2024,Nacional
0.0046512400784572,0.0002048572885106,T4 2024,Nacional
0.0046568015049692,0.0002052778566283,T4 2024,Nacional
0.0046623629314811,0.0002056984247459,T4 2024,Nacional
0.0046796876177063,0.0002070558360344,T4 2024,Nacional
0.0046970123039314,0.0002084132473229,T4 2024,Nacional
0.0047143369901566,0.0002097706586115,T4 2024,Nacional
0.0047316616763818,0.0002111280699,T4 2024,Nacional
0.0047472336706153,0.0002123547269097,T4 2024,Nacional
0.0047548848452711,0.0002129574350076,T4 2024,Nacional
0.004762536019927,0.0002135601431054,T4 2024,Nacional
0.0047889612222626,0.0002156417428795,T4 2024,Nacional
0.0047966123969185,0.0002162444509773,T4 2024,Nacional
0.0048068926095618,0.0002170773943272,T4 2024,Nacional
0.004811577690078,0.0002174728148382,T4 2024,Nacional
0.0048162627705941,0.0002178682353492,T4 2024,Nacional
0.0048209478511102,0.0002182636558602,T4 2024,Nacional
0.0048256329316264,0.0002186590763713,T4 2024,Nacional
0.0049964529895818,0.000233268508255,T4 2024,Nacional
0.0051672730475373,0.0002478779401387,T4 2024,Nacional
0.0053380931054928,0.0002624873720225,T4 2024,Nacional
0.0055089131634482,0.0002770968039062,T4 2024,Nacional
0.0055334508513313,0.0002792269541913,T4 2024,Nacional
0.0055579885392144,0.0002813571044763,T4 2024,Nacional
0.0055825262270975,0.0002834872547613,T4 2024,Nacional
0.0056070639149806,0.0002856174050463,T4 2024,Nacional
0.0056316016028637,0.0002877475553313,T4 2024,Nacional
0.0056561392907468,0.0002898777056163,T4 2024,Nacional
0.00568067697863,0.0002920078559014,T4 2024,Nacional
0.0057063606574307,0.0002942429966095,T4 2024,Nacional
0.0057320443362314,0.0002964781373176,T4 2024,Nacional
0.0057577280150321,0.0002987132780257,T4 2024,Nacional
0.0057672667041405,0.0002995505453984,T4 2024,Nacional
0.0057768053932489,0.0003003878127711,T4 2024,Nacional
0.0057863440823573,0.0003012250801437,T4 2024,Nacional
0.0057958827714657,0.0003020623475164,T4 2024,Nacional
0.005842565048551,0.0003062649942906,T4 2024,Nacional
0.005876708836773,0.0003093388435197,T4 2024,Nacional
0.0059233911138583,0.0003135414902938,T4 2024,Nacional
0.0059643097307403,0.0003172252543255,T4 2024,Nacional
0.0060052283476223,0.0003209090183572,T4 2024,Nacional
0.0060707520636178,0.0003268078958511,T4 2024,Nacional
0.0060735159240662,0.0003270567168153,T4 2024,Nacional
0.0060762797845146,0.0003273055377796,T4 2024,Nacional
0.0061229620615999,0.0003315081845537,T4 2024,Nacional
0.0062248878420374,0.0003406842162109,T4 2024,Nacional
0.0062590316302593,0.0003437580654399,T4 2024,Nacional
0.0062931754184813,0.000346831914669,T4 2024,Nacional
0.0063398576955666,0.0003510345614432,T4 2024,Nacional
0.0064417834760041,0.0003602105931003,T4 2024,Nacional
0.0065437092564416,0.0003693866247575,T4 2024,Nacional
0.0065903915335269,0.0003735892715316,T4 2024,Nacional
0.0066923173139644,0.0003827653031888,T4 2024,Nacional
0.0067332359308464,0.0003864490672204,T4 2024,Nacional
0.0067371120765972,0.0003868023854037,T4 2024,Nacional
0.0067409882223479,0.0003871557035869,T4 2024,Nacional
0.0067501561496889,0.0003879948169563,T4 2024,Nacional
0.0067593240770298,0.0003888339303256,T4 2024,Nacional
0.0067684920043708,0.0003896730436949,T4 2024,Nacional
0.0069374919591041,0.0004052678976292,T4 2024,Nacional
0.0071064919138375,0.0004208627515634,T4 2024,Nacional
0.0072754918685708,0.0004364576054976,T4 2024,Nacional
0.0074444918233042,0.0004520524594319,T4 2024,Nacional
0.0074533226944929,0.0004528805983781,T4 2024,Nacional
0.0074621535656816,0.0004537087373243,T4 2024,Nacional
0.0074709844368703,0.0004545368762706,T4 2024,Nacional
0.007479815308059,0.0004553650152168,T4 2024,Nacional
0.0074886461792477,0.0004561931541631,T4 2024,Nacional
0.0074974770504364,0.0004570212931093,T4 2024,Nacional
0.007506442744086,0.0004579158853259,T4 2024,Nacional
0.0075154084377356,0.0004588104775425,T4 2024,Nacional
